Num_serie;detalle;costo_componente;costo_mano_de_obra;ram_dedicada;frecuencia;marca_placa
123456789;Nvidia GeForce RTX 3080;800.00;35.00;10;1750.00;Nvidia
987654321;ATI Radeon RX 6900 XT;900.00;30.00;16;2100.00;ATI
456789123;Nvidia GeForce RTX 3070;600.00;25.00;8;1620.00;Nvidia
789123456;ATI Radeon RX 6800 XT;800.00;30.00;12;1950.00;ATI
654321987;Nvidia GeForce RTX 3060 Ti;500.00;22.00;8;1665.00;Nvidia
234567891;ATI Radeon RX 6700 XT;600.00;25.00;12;1900.00;ATI
876543219;Nvidia GeForce GTX 1660 Super;300.00;20.00;6;1785.00;Nvidia
345678912;ATI Radeon RX 6600 XT;400.00;18.00;8;1850.00;ATI
678912345;Nvidia GeForce RTX 3090;1200.00;40.00;24;1750.00;Nvidia
432198765;ATI Radeon RX 6800;700.00;28.00;16;1950.00;ATI
135792468;Nvidia GeForce RTX 3080 Ti;1000.00;35.00;12;1750.00;Nvidia
864209753;ATI Radeon RX 6700;500.00;22.00;8;1820.00;ATI
975318642;Nvidia GeForce GTX 1650 Super;250.00;18.00;4;1750.00;Nvidia
586713924;ATI Radeon RX 6500 XT;300.00;15.00;8;1850.00;ATI
297864531;Nvidia GeForce RTX 3060;400.00;20.00;8;1650.00;Nvidia
748596312;ATI Radeon RX 6600;350.00;18.00;8;1780.00;ATI
159267483;Nvidia GeForce RTX 3070 Ti;700.00;28.00;8;1670.00;Nvidia
384175296;ATI Radeon RX 6400;200.00;15.00;4;1800.00;ATI
961423857;Nvidia GeForce GTX 1660;250.00;18.00;6;1750.00;Nvidia
572839614;ATI Radeon RX 6300;150.00;12.00;4;1720.00;ATI
821736495;Nvidia GeForce RTX 3050 Ti;300.00;18.00;4;1580.00;Nvidia
429185673;ATI Radeon RX 6100;100.00;10.00;2;1650.00;ATI
268574931;Nvidia GeForce GTX 1050 Ti;200.00;15.00;4;1485.00;Nvidia
937462158;ATI Radeon RX 590;150.00;12.00;4;1520.00;ATI
514937682;Nvidia GeForce GT 1030;100.00;10.00;2;1220.00;Nvidia
123456789;ATI Radeon RX 6800;700.00;28.00;16;2050.00;ATI
987654321;Nvidia GeForce RTX 3060;500.00;22.00;8;1650.00;Nvidia
456789123;ATI Radeon RX 6600 XT;400.00;20.00;8;1900.00;ATI
789123456;Nvidia GeForce GTX 1660 Super;300.00;18.00;6;1750.00;Nvidia
654321987;ATI Radeon RX 6900 XT;900.00;35.00;16;2100.00;ATI
234567891;Nvidia GeForce RTX 3070;600.00;25.00;8;1720.00;Nvidia
876543219;ATI Radeon RX 6700 XT;600.00;25.00;12;1950.00;ATI
345678912;Nvidia GeForce RTX 3080;800.00;30.00;10;1800.00;Nvidia
678912345;ATI Radeon RX 6500 XT;300.00;15.00;8;1850.00;ATI
432198765;Nvidia GeForce RTX 3060 Ti;700.00;28.00;8;1690.00;Nvidia
135792468;ATI Radeon RX 6800 XT;800.00;30.00;16;1980.00;ATI
864209753;Nvidia GeForce GTX 1650 Super;250.00;18.00;4;1580.00;Nvidia
975318642;ATI Radeon RX 6700;500.00;22.00;8;1820.00;ATI
586713924;Nvidia GeForce RTX 3080 Ti;1000.00;35.00;12;1850.00;Nvidia
297864531;ATI Radeon RX 6600;350.00;18.00;8;1780.00;ATI
748596312;Nvidia GeForce RTX 3070 Ti;700.00;28.00;8;1720.00;Nvidia
159267483;ATI Radeon RX 6300;150.00;12.00;4;1620.00;ATI
384175296;Nvidia GeForce GTX 1660;250.00;18.00;6;1650.00;Nvidia
961423857;ATI Radeon RX 590;200.00;15.00;4;1520.00;ATI
572839614;Nvidia GeForce RTX 3090;1200.00;40.00;24;2100.00;Nvidia
821736495;ATI Radeon RX 6100;100.00;10.00;2;1420.00;ATI
429185673;Nvidia GeForce GT 1030;100.00;10.00;2;1220.00;Nvidia
268574931;ATI Radeon RX 6400;200.00;15.00;4;1580.00;ATI
937462158;Nvidia GeForce GTX 1050 Ti;150.00;12.00;4;1385.00;Nvidia
514937682;ATI Radeon RX 640;100.00;10.00;2;1420.00;ATI
153828468;Nvidia GeForce GT 710;50.00;8.00;1;980.00;Nvidia
683759142;ATI Radeon RX 630;80.00;9.00;2;1250.00;ATI
725431689;Nvidia GeForce MX330;120.00;10.00;2;1360.00;Nvidia
961482573;ATI Radeon RX 550;70.00;8.00;2;1150.00;ATI
437289615;Nvidia GeForce GT 730;60.00;8.00;1;1020.00;Nvidia
196835274;ATI Radeon RX 610;60.00;7.00;1;980.00;ATI
123456789;Nvidia GeForce GTX 1050;120.00;8.00;2;1350.00;Nvidia
987654321;ATI Radeon RX 560;90.00;7.00;2;1100.00;ATI
456789123;Nvidia GeForce GT 1030;80.00;7.00;2;980.00;Nvidia
789123456;ATI Radeon RX 5500 XT;180.00;10.00;6;1500.00;ATI
654321987;Nvidia GeForce GTX 1660;250.00;12.00;6;1650.00;Nvidia
234567891;ATI Radeon RX 5700 XT;350.00;15.00;8;1900.00;ATI
876543219;Nvidia GeForce RTX 2060;350.00;15.00;6;1650.00;Nvidia
345678912;ATI Radeon RX 580;200.00;12.00;8;1550.00;ATI
678912345;Nvidia GeForce GTX 1650;150.00;10.00;4;1350.00;Nvidia
432198765;ATI Radeon RX 5600 XT;250.00;12.00;6;1650.00;ATI
135792468;Nvidia GeForce RTX 2070;450.00;18.00;8;1850.00;Nvidia
864209753;ATI Radeon RX 590;200.00;12.00;8;1550.00;ATI
975318642;Nvidia GeForce GTX 1660 Super;300.00;15.00;6;1650.00;Nvidia
586713924;ATI Radeon RX 5500;160.00;10.00;4;1450.00;ATI
297864531;Nvidia GeForce RTX 3060;400.00;18.00;12;1750.00;Nvidia
748596312;ATI Radeon RX 570;150.00;10.00;4;1350.00;ATI
159267483;Nvidia GeForce GTX 1050 Ti;120.00;8.00;4;1385.00;Nvidia
384175296;ATI Radeon RX 5600;250.00;12.00;6;1650.00;ATI
961423857;Nvidia GeForce RTX 2080;600.00;20.00;8;1950.00;Nvidia
572839614;ATI Radeon RX 5800 XT;400.00;18.00;12;1850.00;ATI
821736495;Nvidia GeForce GTX 1650 Super;250.00;12.00;4;1450.00;Nvidia
429185673;ATI Radeon RX 5900 XT;550.00;20.00;16;2050.00;ATI
268574931;Nvidia GeForce RTX 3060 Ti;500.00;18.00;10;1750.00;Nvidia
937462158;ATI Radeon RX 5700;350.00;15.00;8;1850.00;ATI
514937682;Nvidia GeForce GTX 1660 Ti;350.00;15.00;6;1650.00;Nvidia
153828468;ATI Radeon RX 550;80.00;7.00;2;1050.00;ATI
683759142;Nvidia GeForce GT 710;50.00;6.00;1;980.00;Nvidia
725431689;ATI Radeon RX 5300;120.00;8.00;4;1350.00;ATI
961482573;Nvidia GeForce MX330;100.00;6.00;2;1200.00;Nvidia
437289615;ATI Radeon RX 5500;140.00;8.00;4;1450.00;ATI
196835274;Nvidia GeForce GT 730;60.00;6.00;1;1020.00;Nvidia
